,Unnamed: 0,word,word_onsets,word_offsets,cloze_pre_rep,cloze_post_rep,cloze_MemEffect_rep,boundary,agreement
229,229,prize,105.81499995117188,106.26499993286131,0.74,0.78,0.04,,
230,230,that,106.26499993286131,106.44499992553708,0.0,0.16,0.16,,
231,231,is,106.44499992553708,106.615000078125,0.12,0.36,0.24,,
232,232,true,106.615000078125,106.9450000048828,0.0,0.36,0.36,,
233,233,and,107.85499998779297,108.27499991088868,0.2,0.4,0.2,,
234,234,hes,108.17500007446289,108.4550000830078,0.0,0.12,0.12,,
235,235,a,108.3749999267578,108.40499998535157,0.26,0.34,0.08,,
236,236,big,108.40499998535157,108.81500006835935,0.0,0.36,0.36,,
237,237,guy,108.73499991210936,109.20499993286133,0.02,0.48,0.4599999999999999,,
238,238,i,109.20499993286133,109.32499998779296,0.0,0.12,0.12,,
239,239,pitch,109.32499998779296,109.57499993774412,0.0,0.08,0.08,,
240,240,him,109.57499993774412,109.64500007446289,0.18,0.22,0.04,,
241,241,my,109.64500007446289,109.75499993041991,0.16,0.38,0.22,,
242,242,story,109.75499993041991,110.14499997436522,0.48,0.58,0.0999999999999999,,
243,243,i,110.14499997436522,110.20499991210936,0.0,0.08,0.08,,
244,244,tell,110.20499991210936,110.44500002197265,0.38,0.48,0.0999999999999999,,
245,245,him,110.44500002197265,110.5450000378418,0.88,0.84,-0.04,,
246,246,what,110.5450000378418,110.66499991333006,0.2,0.26,0.06,,
247,247,ive,110.66499991333006,110.7649999291992,0.0,0.08,0.08,,
248,248,seen,110.7649999291992,111.25499998901368,0.32,0.6,0.2799999999999999,,
249,249,and,111.84500006469726,111.99499999877928,0.38,0.66,0.28,,
250,250,he,111.99499999877928,112.09500001464843,0.4,0.58,0.1799999999999999,,
251,251,says,112.09500001464843,112.48500005859374,0.3,0.62,0.32,,
252,252,dean,113.3750000024414,113.57500003417968,0.0,0.28,0.28,,
253,253,mcgowan,113.57500003417968,114.10499999267576,0.76,0.84,0.0799999999999999,,
254,254,that,114.4250000793457,115.3250000427246,0.0,0.18,0.18,,
255,255,guys,115.24500006591796,115.46499995727538,0.0,0.2,0.2,,
256,256,a,115.46499995727538,115.50500003540036,0.62,0.68,0.06,,
257,257,dick,115.62499991088866,116.06500005249022,0.04,0.46,0.42,,
258,258,write,116.06500005249022,116.29499996337888,0.0,0.16,0.16,,
259,259,it,116.29499996337888,116.40499999877927,0.14,0.4,0.26,,
260,260,up,116.40499999877927,116.96500001586912,0.1,0.54,0.44,1.0,0.32682926829268294
261,261,so,118.05499999145506,118.23499998413084,0.06,0.32,0.26,,
262,262,im,118.23499998413084,118.37500007812498,0.0,0.1,0.1,,
263,263,banging,118.37500007812498,118.65500008666992,0.0,0.1,0.1,,
264,264,out,118.65500008666992,118.7450000830078,0.1,0.3,0.1999999999999999,,
265,265,my,118.7450000830078,118.8449999194336,0.18,0.28,0.1,,
266,266,story,118.8449999194336,119.22499994384764,0.42,0.72,0.3,,
267,267,and,119.22499994384764,119.31499994018554,0.28,0.72,0.4399999999999999,,
268,268,i,119.31499994018554,119.38500007690428,0.24,0.62,0.38,,
